match_id,gold_diff_10,cs_diff_10,kills_diff_10,assists_diff_10,towers_diff_10,dragons_diff_10,blue_win
NA1_5283652593,148,16,3,0,0,1,1
NA1_5283632288,820,19,3,0,0,-1,1
NA1_5283262379,-1262,14,-3,-2,0,0,1
NA1_5283156314,40,-43,2,6,0,-1,1
NA1_5283139583,1270,10,4,7,0,1,1
NA1_5283116534,-2250,-27,-3,-3,0,1,0
NA1_5282680243,1688,66,0,-9,0,1,1
NA1_5281981352,2077,39,4,-2,0,0,1
NA1_5281735160,1739,-16,5,6,0,0,1
NA1_5281706796,-70,-6,-2,2,0,0,1
NA1_5281480544,-551,29,-4,-7,0,-1,0
NA1_5281451461,4260,31,7,10,0,0,1
NA1_5281325344,-6729,-98,-11,-7,0,-1,0
NA1_5280675558,-977,-46,-1,1,0,0,0
NA1_5280476180,355,-22,1,4,0,-1,1
NA1_5280435272,694,24,1,3,0,1,0
NA1_5280375969,-3874,-38,-7,-4,0,-1,0
NA1_5279963054,260,24,0,-3,0,-1,1
NA1_5279849875,-2100,-42,-3,-6,0,0,1
NA1_5283399874,244,40,-1,-3,0,1,0
NA1_5283208688,579,33,0,1,0,1,1
NA1_5282841349,-1744,-45,-4,-4,0,1,1
NA1_5282820174,3072,14,5,9,0,1,1
NA1_5282223632,1803,47,4,-1,0,0,1
NA1_5276808404,927,-8,3,2,0,1,1
NA1_5276775005,1073,1,5,5,0,1,1
NA1_5276742472,-1510,-29,-3,-3,0,-1,0
NA1_5274938688,-1131,-11,-3,-2,0,0,0
NA1_5274886177,-2539,-40,-2,-1,0,1,0
NA1_5274862001,274,7,1,0,0,1,1
NA1_5274826141,-360,16,-1,-3,0,-1,1
NA1_5274769016,799,10,0,0,0,-1,0
NA1_5273908940,904,33,-1,3,0,1,1
NA1_5273567740,-2420,-3,-5,-8,0,1,1
NA1_5271556220,2687,9,6,7,0,0,1
NA1_5271471276,1451,1,4,5,0,1,1
NA1_5268141069,706,46,2,2,0,0,1
NA1_5252316236,1078,7,1,4,0,-1,0
NA1_5252291724,1194,-25,5,6,0,0,0
NA1_5282180656,-1011,19,-6,-6,0,-1,0
NA1_5282157460,-34,34,0,-6,0,-1,0
NA1_5282132302,1587,34,2,1,0,0,0
NA1_5282102823,-1719,-25,-3,-1,0,-1,0
NA1_5282065260,10,-13,1,3,0,-1,0
NA1_5282032335,-1517,37,-7,-12,0,1,0
NA1_5280212496,-619,-14,-1,0,0,0,0
NA1_5280181498,522,-38,3,6,0,0,1
NA1_5280140139,-708,-15,-2,0,0,-1,1
NA1_5280112823,1360,16,2,3,0,1,1
NA1_5280065570,1791,13,4,3,0,-1,1
NA1_5280040833,-1067,-11,-2,0,0,1,0
NA1_5279471232,1799,-7,5,6,0,-1,1
NA1_5279451010,3263,28,6,14,0,1,1
NA1_5279430290,-2555,-36,-5,-2,0,1,0
NA1_5279414017,3434,65,3,5,0,-1,1
NA1_5279381187,-1367,70,-8,-12,0,1,0
NA1_5279333469,-1038,0,-2,-4,0,0,1
NA1_5279292862,1447,17,1,-8,0,-1,0
NA1_5279232148,968,75,-2,0,0,-1,1
NA1_5283731165,4126,51,7,12,0,0,0
NA1_5283718224,-1986,-30,-3,-6,0,0,0
NA1_5281583513,-75,25,-3,-3,0,-1,0
NA1_5281556730,-1634,-12,-5,-5,0,-1,0
NA1_5281527110,-428,-45,1,8,0,-1,0
NA1_5281410968,-1032,-25,-2,2,0,1,0
NA1_5281360055,-508,-7,0,5,0,0,0
NA1_5281313828,-711,-2,-3,-6,0,0,0
NA1_5281272392,-131,-9,1,1,0,1,1
NA1_5280836433,-251,-29,1,-1,0,1,1
NA1_5280065570,1791,13,4,3,0,-1,1
NA1_5277886380,2444,64,2,1,0,-1,1
NA1_5276775594,-1416,0,-4,-2,0,0,1
NA1_5275606820,2718,34,4,4,0,1,1
NA1_5274915132,3947,57,6,14,0,0,1
NA1_5274857015,-2192,11,-6,-9,0,-1,1
NA1_5274818427,-2794,-30,-6,-5,0,0,0
NA1_5271018498,700,0,1,-3,0,-1,1
NA1_5270971441,3587,25,8,8,0,0,1
NA1_5270749661,2316,9,4,5,0,-1,1
